C_SKU_Nbr,C_Short_Week,C_d_Market,C_d_Market_Nbr,C_d_Store,C_d_Store_Nbr,C_sku1,C_year1_1,C_Sales_Units,C_Sales_Units_LY,C_sales,C_sales_ly
1003912161,FW 202103,0089-BIRMINGHAM,0089,0804-N HUNTSVILLE,0804,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,2.0,,40.46,
1003912161,FW 202103,0089-BIRMINGHAM,0089,0806-PRATTVILLE,0806,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,2.0,,41.5,
1003912161,FW 202052,0019-NASHVILLE,0019,"0734-FRANKLIN,TN",0734,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,1.0,,18.87,
1003912161,FW 202052,0089-BIRMINGHAM,0089,0805-PELHAM,0805,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,6.0,,113.22000000000001,
1003912161,FW 202052,0019-NASHVILLE,0019,"0775-SPRING HILL,TN",0775,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,1.0,,18.87,
1005945472,FW 202101,0019-NASHVILLE,0019,0723-BRENTWOOD,0723,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,24.0,,689.52,
1005945472,FW 202049,0089-BIRMINGHAM,0089,0804-N HUNTSVILLE,0804,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,5.0,,144.35,
1003912161,FW 202101,0020-LONG ISLAND,0020,8465-RACEWAY,8465,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,2.0,,37.74,
1003912161,FW 202051,0164-MILWAUKEE,0164,4909-WEST MADISON,4909,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,7.0,,132.09,
1005945472,FW 202051,0020-LONG ISLAND,0020,1222-RIVERHEAD,1222,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,31.0,,894.97,
1005945472,FW 202052,0039-BOSTON/MA/NH,0039,2681-NORWOOD,2681,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,7.0,,202.09,
1003912161,FW 202052,0101-MINNESOTA,0101,2813-EAGAN,2813,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,0.0,,0.0,
1003912161,FW 202102,0164-MILWAUKEE,0164,4902-WEST ALLIS,4902,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,6.0,,120.74000000000001,
1005945472,FW 202103,0164-MILWAUKEE,0164,4920-W GREEN BAY,4920,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,2.0,,57.74,
1005945472,FW 202050,0020-LONG ISLAND,0020,1229-CORAM,1229,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,2.0,,57.74,
1003912161,FW 202050,0020-LONG ISLAND,0020,1208-ELMONT,1208,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,2.0,,37.739999999999995,
1003912161,FW 202103,0164-MILWAUKEE,0164,4906-EAST MADISON,4906,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,3.0,,62.25,
1005945472,FW 202051,0039-BOSTON/MA/NH,0039,2681-NORWOOD,2681,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,3.0,,86.61,
1005945472,FW 202052,0101-MINNESOTA,0101,4935-HUDSON,4935,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,3.0,,86.61,
1003912161,FW 202101,0101-MINNESOTA,0101,4935-HUDSON,4935,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,4.0,,75.48,
1005945472,FW 202103,0101-MINNESOTA,0101,2833-APPLE VALLEY,2833,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,4.0,,115.48,
1005945472,FW 202101,0039-BOSTON/MA/NH,0039,2650-ROCKLAND,2650,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,5.0,,129.91,
1003912161,FW 202051,0164-MILWAUKEE,0164,4920-W GREEN BAY,4920,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,5.0,,94.35000000000001,
1003912161,FW 202101,0020-LONG ISLAND,0020,6105-LEVITTOWN (RELO #1201),6105,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,18.87,
1003912161,FW 202101,0164-MILWAUKEE,0164,4918-WAUKESHA,4918,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,16.98,
1003912161,FW 202102,0101-MINNESOTA,0101,2843-INVER GROVE HEIGHTS,2843,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,20.75,
1003912161,FW 202102,0164-MILWAUKEE,0164,4907-FRANKLIN,4907,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,20.75,
1003912161,FW 202052,0039-BOSTON/MA/NH,0039,2676-LEOMINSTER,2676,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,1.0,,18.87,
1005945472,FW 202051,0020-LONG ISLAND,0020,6105-LEVITTOWN (RELO #1201),6105,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,1.0,,28.87,
1003912161,FW 202102,0164-MILWAUKEE,0164,4906-EAST MADISON,4906,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,-1.0,,-18.87,
1003912161,FW 202102,0089-BIRMINGHAM,0089,0806-PRATTVILLE,0806,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,2.0,,41.5,
1003912161,FW 202102,0019-NASHVILLE,0019,"0735-HENDERSONVILLE,TN",0735,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,2.0,,41.5,
1003912161,FW 202101,0019-NASHVILLE,0019,"0745-LEBANON,TN",0745,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,3.0,,56.61,
1005945472,FW 202102,0019-NASHVILLE,0019,"0775-SPRING HILL,TN",0775,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,1.0,,28.87,
1005945472,FW 202102,0089-BIRMINGHAM,0089,0880-EASTWOOD,0880,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,16.0,,461.92,
1003912161,FW 202048,0020-LONG ISLAND,0020,1229-CORAM,1229,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,14.0,,264.18,
1005945472,FW 202101,0101-MINNESOTA,0101,2821-ELK RIVER,2821,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,21.0,,606.27,
1005945472,FW 202101,0164-MILWAUKEE,0164,4906-EAST MADISON,4906,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,2.0,,57.74,
1005945472,FW 202101,0164-MILWAUKEE,0164,4920-W GREEN BAY,4920,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,12.0,,346.44,
1005945472,FW 202101,0039-BOSTON/MA/NH,0039,"2680-PLYMOUTH,MA",2680,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,3.0,,86.61,
1005945472,FW 202050,0164-MILWAUKEE,0164,4926-RACINE,4926,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,3.0,,46.19,
1005945472,FW 202051,0164-MILWAUKEE,0164,4923-WAUWATOSA,4923,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,4.0,,115.48,
1003912161,FW 202050,0039-BOSTON/MA/NH,0039,4287-MIDDLETOWN,4287,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,5.0,,20.05,
1003912161,FW 202101,0101-MINNESOTA,0101,2808-PLYMOUTH,2808,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,11.0,,207.57,
1003912161,FW 202102,0164-MILWAUKEE,0164,4926-RACINE,4926,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,10.0,,207.5,
1005945472,FW 202101,0101-MINNESOTA,0101,2803-COON RAPIDS,2803,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,64.0,,1847.68,
1003912161,FW 202102,0019-NASHVILLE,0019,"0775-SPRING HILL,TN",0775,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,3.0,,62.25,
1003912161,FW 202101,0019-NASHVILLE,0019,0732-THOMPSON LANE,0732,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,18.87,
1003912161,FW 202102,0089-BIRMINGHAM,0089,"0810-JASPER,AL",0810,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,2.0,,37.74,
1003912161,FW 202102,0019-NASHVILLE,0019,0720-MADISON,0720,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,18.68,
1005945472,FW 202102,0019-NASHVILLE,0019,"0734-FRANKLIN,TN",0734,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,8.0,,230.95999999999998,
1005945472,FW 202102,0019-NASHVILLE,0019,0733-HERMITAGE,0733,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,7.0,,202.09,
1005945472,FW 202103,0020-LONG ISLAND,0020,8958-BELLPORT,8958,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,6.0,,173.22,
1005945472,FW 202102,0020-LONG ISLAND,0020,8958-BELLPORT,8958,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,7.0,,202.09,
1005945472,FW 202050,0020-LONG ISLAND,0020,1208-ELMONT,1208,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,-18.0,,-519.66,
1003912161,FW 202102,0101-MINNESOTA,0101,2825-CHASKA,2825,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,11.0,,228.25,
