C_Class_Name,C_Model_Number,C_SKU_Name,C_SKU_Nbr,C_Sub_Class_2,C_Sub_Class_Nbr,C_dept_2,C_Sales_Units,C_Str_OH_units_wkly
PRESSURE TREATED/DECKING,103802,8X8-12FT #2 PT GC,1001403392,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,272.0,5.0
LANDSCAPE,166228,24 IN. X 48 IN. ELEVATED GARDEN BED,1000098280,021-007-060-S/O LANDSCAPE,021-007-060,21-LUMBER,37.0,0.0
PLYWOOD,214079,1/4 2X2 OKOUME VIROLA PLYWOOD,214079,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,74489.0,1193.0
LANDSCAPE,71999,3/4 IN. X 32 IN. GREEN ALUMINUM ROUN,1000339979,021-007-060-S/O LANDSCAPE,021-007-060,21-LUMBER,42.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,6X6-12FT #2 PT GC_CS,601065,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,11217.0,335.0
PLYWOOD,421514,"1/4""X2X4 BIRCH MARKER BOARD",1005584822,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,147.0,361.0
PLYWOOD,420507,"1/2""X12""X24"" BIRCH PLYWOOD",1005584486,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,1040.0,639.0
LANDSCAPE,UNKNOWN,2X12-48IN PT CEDAR-TONE STAIR TREAD,1000004852,021-007-006-SPECIALTY,021-007-006,21-LUMBER,56145.0,1830.0
COMPOSITION,138339,"3/4"" 2'X4' WHT/WHT KING STARBRD PNL",827617,021-004-003-HARDBOARD,021-004-003,21-LUMBER,232.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,2X4-14FT #2 PRIME PT WEATHERSHIELD,227805,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,89330.0,1126.0
PRESSURE TREATED/DECKING,163172,6X6-16FT #2 PT CDR-TONE GC_CS,1001725513,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,703.0,22.0
FENCING,UNKNOWN,DIS 2-HOLE CEDAR END POST,1001240213,021-008-018-EVENTS,021-008-018,21-LUMBER,-2.0,0.0
LAWN ACCESSORIES,388538,"24"" X 48"" CEDAR LADDER TRELLIS",1004671875,028-023-005-TRELLIS/SHEP HOOKS/ARBOR,028-023-005,28-SEASONAL/GARDEN,1699.0,514.0
PRESSURE TREATED/DECKING,UNKNOWN,2X12-8 #2 PRIME OR BTR PT GC,1001754095,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,1375044.0,22645.0
FENCING,UNKNOWN,4X4-10FT ROUGH GRN CEDAR,937973,021-008-017-DIMENSIONAL CEDAR,021-008-017,21-LUMBER,,
PRESSURE TREATED/DECKING,UNKNOWN,2X8-12FT #2 PRIME PT CEDAR-TONE,1000004784,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,54625.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,DLVRD 2X8-12FT #1 PT RWD-TN WTHRSHLD,1000019450,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,77.0,0.0
FENCING,175841,38 IN. X 48 IN. SCALLOPED SPACED PIC,1000996893,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,669.0,
FENCING,245321,3-1/2 FT. X 8 FT. WESTERN RED CEDAR,1001753626,021-008-005-PRESSURE TREATED PANELS,021-008-005,21-LUMBER,2674.0,
FENCING,UNKNOWN,BLACK ADA 90 OUTSIDE CORNER HAND RA,1002630856,022-013-003-DECORATIVE POOL FENCE,022-013-003,22-BUILDING MATERIALS,3.0,
DIMENSIONAL LUMBER,407693,2 IN. X 6 IN. X 4 FT. PREMIUM SOUTHE,1005166936,021-003-013-SHORT LUMBER,021-003-013,21-LUMBER,163.0,
PLYWOOD,225450,BIRCH PLYWOOD (COMMON: 1/2 IN. X 2 F,1001385757,021-001-060-S/O PLYWOOD,021-001-060,21-LUMBER,413.0,
FENCING,175843,4 FT. X 3.5 FT. WHITE VINYL DOG EAR,1000996895,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,102.0,
BOARDS,334169,1 IN. X 6 IN. X 6 FT. SMOKE WHITE CH,1003363579,021-005-010-HARDWOOD,021-005-010,21-LUMBER,2470.0,
