C_Merch_Vendor_Nbr,C_SKU_Nbr,C_d_Store,C_d_Store_Nbr,C_sku1,C_Sales_Units,C_sales
21376,1002185336,0161-HAMILTON MILL,0161,1002185336-2X6-4FT PRE-CUT LUMBER,50.0,186.99999999999994
769444,1002185336,4601-FAIRFAX,4601,1002185336-2X6-4FT PRE-CUT LUMBER,271.0,1061.13
769444,1002185336,6530-ROSENBERG,6530,1002185336-2X6-4FT PRE-CUT LUMBER,426.0,1696.839999999999
769444,1002185336,"4141-LEBANON,PA",4141,1002185336-2X6-4FT PRE-CUT LUMBER,241.0,955.2900000000004
769444,1002185336,2221-HAYS,2221,1002185336-2X6-4FT PRE-CUT LUMBER,130.0,556.6300000000001
769444,1002185336,2754-ROOSEVELT PARK,2754,1002185336-2X6-4FT PRE-CUT LUMBER,157.0,644.86
769444,1002185336,0976-EWING,0976,1002185336-2X6-4FT PRE-CUT LUMBER,1.0,3.3900000000000006
769444,1002185336,3105-KALISPELL,3105,1002185336-2X6-4FT PRE-CUT LUMBER,218.0,1102.5400000000006
769444,1002185336,0455-MCDOWELL,0455,1002185336-2X6-4FT PRE-CUT LUMBER,288.0,1363.0400000000009
769444,1002185336,0935-JERSEY CITY,0935,1002185336-2X6-4FT PRE-CUT LUMBER,162.0,676.7299999999998
769444,1002185336,"2826-ROCHESTER,MN",2826,1002185336-2X6-4FT PRE-CUT LUMBER,241.0,1009.9599999999996
769444,1002185336,3514-GALLUP,3514,1002185336-2X6-4FT PRE-CUT LUMBER,156.0,615.6300000000001
21376,1002185336,0368-MARRERO,0368,1002185336-2X6-4FT PRE-CUT LUMBER,167.0,672.7100000000007
769444,1002185336,0471-GILBERT,0471,1002185336-2X6-4FT PRE-CUT LUMBER,176.0,874.6600000000004
769444,1002185336,0586-SW SAN ANTONIO,0586,1002185336-2X6-4FT PRE-CUT LUMBER,399.0,1603.0900000000022
769444,1002185336,6649-TRUXEL RD,6649,1002185336-2X6-4FT PRE-CUT LUMBER,506.0,2344.479999999996
21376,1002185336,0917-LAWNSIDE,0917,1002185336-2X6-4FT PRE-CUT LUMBER,-1.0,-3.94
769444,1002185336,3631-GARNER,3631,1002185336-2X6-4FT PRE-CUT LUMBER,153.0,569.6600000000002
21376,1002185336,1750-BLAIRSVILLE,1750,1002185336-2X6-4FT PRE-CUT LUMBER,3.0,16.759999999999998
769444,1002185336,3311-W RENO,3311,1002185336-2X6-4FT PRE-CUT LUMBER,288.0,1390.8799999999974
769444,1002185336,"3485-CONCORD, NH",3485,1002185336-2X6-4FT PRE-CUT LUMBER,125.0,616.9600000000005
769444,1002185336,6923-SOUTH ELGIN,6923,1002185336-2X6-4FT PRE-CUT LUMBER,135.0,544.7300000000001
769444,1002185336,3887-NEWARK,3887,1002185336-2X6-4FT PRE-CUT LUMBER,125.0,508.2299999999999
769444,1002185336,8919-S LITTLE ROCK,8919,1002185336-2X6-4FT PRE-CUT LUMBER,249.0,1027.4300000000003
769444,1002185336,6617-GLENDORA,6617,1002185336-2X6-4FT PRE-CUT LUMBER,277.0,1295.8000000000006
68662,1002185336,1242-WALLKILL,1242,1002185336-2X6-4FT PRE-CUT LUMBER,192.0,705.84
769444,1002185336,4502-RUTLAND,4502,1002185336-2X6-4FT PRE-CUT LUMBER,190.0,892.2600000000003
33560,1002185336,1802-IDAHO FALLS,1802,1002185336-2X6-4FT PRE-CUT LUMBER,53.0,266.3
769444,1002185336,0684-LA MIRADA,0684,1002185336-2X6-4FT PRE-CUT LUMBER,207.0,1022.8
769444,1002185336,"1409-HARRISON,AR",1409,1002185336-2X6-4FT PRE-CUT LUMBER,66.0,282.73
769444,1002185336,1407-CONWAY,1407,1002185336-2X6-4FT PRE-CUT LUMBER,259.0,1153.0700000000006
769444,1002185336,6610-ALHAMBRA,6610,1002185336-2X6-4FT PRE-CUT LUMBER,338.0,1715.2099999999996
769444,1002185336,8552-WARRENTON,8552,1002185336-2X6-4FT PRE-CUT LUMBER,368.0,1485.6499999999999
