"SKU Nbr","Store Nbr","Short Week","SKU Status Code","THD Sku Status CD + ","Str OH Units Wkly","Sales Units"
"1003912161","4902","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","4923","FW 202052","100-ACTIVE","100-ACTIVE","46",""
"1005945472","0809","FW 202050","100-ACTIVE","100-ACTIVE","111",""
"1005945472","0778","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1005945472","4909","FW 202049","100-ACTIVE","100-ACTIVE","0",""
"1005945472","2667","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1005945472","2844","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2809","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2805","FW 202050","400-INACTIVE","400-INACTIVE","26",""
"1005945472","4940","FW 202052","100-ACTIVE","100-ACTIVE","56",""
"1003912161","2651","FW 202048","100-ACTIVE","100-ACTIVE","26",""
"1005945472","8958","FW 202045","400-INACTIVE","400-INACTIVE","56",""
"1003912161","4903","FW 202052","100-ACTIVE","100-ACTIVE","42","10"
"1003912161","2847","FW 202051","400-INACTIVE","400-INACTIVE","24","2"
"1003912161","2813","FW 202050","400-INACTIVE","400-INACTIVE","0",""
