Class,Manuf_Part_Number_Plus,SKU_Nbr,Short_Week,SKU,Sales_Units,Sales_Dollars
021-008-FENCING,141568,249148,FW 202023,249148-6'X8' DOVER PRIVACY PANEL,1160,89512.48
021-008-FENCING,141568,249148,FW 201951,249148-6'X8' DOVER PRIVACY PANEL,187,13921.98
021-008-FENCING,141568,249148,FW 201846,249148-6'X8' DOVER PRIVACY PANEL,90,7130.0799999999981
021-008-FENCING,141568,249148,FW 201843,249148-6'X8' DOVER PRIVACY PANEL,63,4684.3999999999987
021-008-FENCING,141568,249148,FW 202052,249148-6'X8' DOVER PRIVACY PANEL,359,26943.039999999997
021-008-FENCING,141568,249148,FW 202035,249148-6'X8' DOVER PRIVACY PANEL,695,52285.770000000004
021-008-FENCING,141568,249148,FW 202033,249148-6'X8' DOVER PRIVACY PANEL,1198,90314.419999999969
021-008-FENCING,141568,249148,FW 202045,249148-6'X8' DOVER PRIVACY PANEL,622,47777.619999999995
021-008-FENCING,141568,249148,FW 202004,249148-6'X8' DOVER PRIVACY PANEL,441,33620.479999999996
021-008-FENCING,141568,249148,FW 202022,249148-6'X8' DOVER PRIVACY PANEL,1949,142456.97999999998
021-008-FENCING,141568,249148,FW 201825,249148-6'X8' DOVER PRIVACY PANEL,454,34241.759999999995
021-008-FENCING,141568,249148,FW 202047,249148-6'X8' DOVER PRIVACY PANEL,289,22997.9
021-008-FENCING,141568,249148,FW 201839,249148-6'X8' DOVER PRIVACY PANEL,203,15422.719999999998
021-008-FENCING,141568,249148,FW 202037,249148-6'X8' DOVER PRIVACY PANEL,869,67065.62
021-008-FENCING,141568,249148,FW 202012,249148-6'X8' DOVER PRIVACY PANEL,2846,214972.71
021-008-FENCING,141568,249148,FW 201817,249148-6'X8' DOVER PRIVACY PANEL,1378,92107.599999999977
021-008-FENCING,141568,249148,FW 201924,249148-6'X8' DOVER PRIVACY PANEL,1458,111096.34999999999
021-008-FENCING,141568,249148,FW 201937,249148-6'X8' DOVER PRIVACY PANEL,933,70031.469999999987
021-008-FENCING,141568,249148,FW 201942,249148-6'X8' DOVER PRIVACY PANEL,359,27368.43
021-008-FENCING,141568,249148,FW 202042,249148-6'X8' DOVER PRIVACY PANEL,1209,91759.079999999958
021-008-FENCING,UNKNOWN,1000031150,FW 201908,1000031150-4X4-8 VINYL FENCE POST,248,3597.5699999999997
021-008-FENCING,UNKNOWN,1000031150,FW 201752,1000031150-4X4-8 VINYL FENCE POST,27,528.9
021-008-FENCING,UNKNOWN,1000031150,FW 201815,1000031150-4X4-8 VINYL FENCE POST,270,5096.1099999999988
021-008-FENCING,UNKNOWN,1000031150,FW 201907,1000031150-4X4-8 VINYL FENCE POST,69,1298.14
021-008-FENCING,UNKNOWN,1000031150,FW 201750,1000031150-4X4-8 VINYL FENCE POST,37,723.35
021-008-FENCING,UNKNOWN,1000031150,FW 201850,1000031150-4X4-8 VINYL FENCE POST,11,173.04
021-008-FENCING,UNKNOWN,1000031150,FW 201939,1000031150-4X4-8 VINYL FENCE POST,1,0.01
021-008-FENCING,UNKNOWN,1000031150,FW 201807,1000031150-4X4-8 VINYL FENCE POST,30,592.04
021-008-FENCING,UNKNOWN,1000031150,FW 201931,1000031150-4X4-8 VINYL FENCE POST,3,29.72
021-008-FENCING,UNKNOWN,1000031150,FW 201942,1000031150-4X4-8 VINYL FENCE POST,1,19.98
